Dataset,Execution,Time,Fitness_train,Fitness_test,Number_of_nodes,Number_of_nodes_real,Depth,Expression
cars,6,18.6025849,4.855825811077928,4.821901772670572,26,26,9,"myprod(0.954, -(mydiv(mydiv(+(acceleration, mydiv(+(weight, displacement), mydiv(displacement, 5.767))), mysqrt(mydiv(horsepower, mylog(mysquare(weight))))), cylinders), -(myprod(-82.609, 0.103), 5.767)))"
cars,7,28.136747899,4.838351666850105,4.469658708010491,42,42,10,"+(-(mydiv(mysqrt(mysqrt(cylinders)), -(mydiv(cylinders, cylinders), -(cylinders, -(mydiv(85.475, weight), -(cylinders, mysquare(myprod(-0.737, cylinders))))))), -(cylinders, mydiv(weight, displacement))), +(mydiv(weight, +(weight, -(cylinders, mysquare(+(cylinders, +(cylinders, 27.193)))))), mysqrt(85.475)))"
cars,8,17.580627599,5.476494373708644,5.4917281799003055,19,19,10,"+(mysquare(myprod(myexp(mydiv(mysquare(mysquare(mysqrt(mydiv(8.129, cylinders)))), mysqrt(horsepower))), mysqrt(mysqrt(mydiv(weight, displacement))))), acceleration)"
cars,9,37.877847001,5.522782453316417,5.941734017067457,45,45,10,"mylog(+(+(+(65.115, +(65.115, +(65.115, myprod(weight, -(6.755, horsepower))))), mysquare(mydiv(myexp(acceleration), -(myexp(-(cylinders, 0.942)), +(mysqrt(+(-0.877, horsepower)), acceleration))))), mysquare(-(mydiv(myprod(65.115, myprod(65.115, 65.115)), -(displacement, -(65.115, -(6.755, horsepower)))), displacement))))"
cars,10,16.8969232,4.191657072468463,3.8641448265636855,56,56,10,"+(mydiv(mydiv(mydiv(mydiv(mydiv(mydiv(41.151, cylinders), myexp(myexp(-20.901))), myexp(myexp(-20.901))), myexp(-(myexp(-20.901), mydiv(cylinders, horsepower)))), myexp(myexp(-20.901))), myexp(myexp(-20.901))), mydiv(mydiv(41.151, mylog(-(-(mysqrt(mysquare(+(horsepower, acceleration))), mysquare(myexp(mysquare(-1.303)))), mylog(-(weight, 41.151))))), mylog(mysquare(mylog(mylog(-(mydiv(weight, 41.151), 10.22)))))))"
cars,11,18.887358801,4.808900529742543,4.6708168551808855,32,32,9,"-(mylog(mydiv(myprod(cylinders, myprod(mysqrt(mydiv(acceleration, horsepower)), myprod(86.382, mysqrt(mydiv(acceleration, horsepower))))), horsepower)), mydiv(0.986, mydiv(-0.727, mydiv(86.382, mylog(+(myprod(+(0.846, -0.199), myexp(cylinders)), acceleration))))))"
cars,12,10.4275741,5.049269665713072,4.4878128668933615,13,13,10,"mylog(mysquare(mysquare(myprod(acceleration, myexp(mydiv(acceleration, myexp(mysqrt(mydiv(displacement, 58.996)))))))))"
cars,13,15.521331,5.392020693450807,5.507297973773792,18,18,10,"mylog(mysquare(mysquare(myprod(horsepower, mysquare(+(-(mylog(mylog(48.67)), mydiv(mysquare(-3.809), mylog(cylinders))), mylog(horsepower)))))))"
cars,14,15.4116855,4.313622301449852,3.867562705331577,26,26,8,"+(-(-(-(mydiv(mydiv(3.861, horsepower), 0.009), -0.683), 0.009), 0.009), mysquare(mylog(myprod(mydiv(mydiv(3.861, displacement), 0.009), mysquare(+(5.133, mydiv(3.861, horsepower)))))))"
cars,15,16.949581201,4.353760904645291,3.7607986321782563,25,25,9,"+(-0.775, mysquare(+(mylog(horsepower), -(-(-(displacement, mysqrt(70.184)), mydiv(myexp(-4.563), myexp(-4.012))), -(displacement, mydiv(-74.814, -(displacement, mysqrt(70.184))))))))"
